baseline,criterion,family,parameter,selected,selected_conv_gen,selected_score,selected_time
3.0,min baseline_eval,QUBO,alpha1,3.0,,-14.369797,
0.5,min baseline_eval,QUBO,alpha4,0.5,,-14.369797,
1.01,min baseline_eval,QUBO,alpha3,0.8,,-14.369797,
0.214,min baseline_eval,QUBO,alpha6,0.35,,-14.238042,
4,min baseline_eval,QUBO,R1,4,,-14.369797,
3,min baseline_eval,QUBO,R4,1,,-14.369797,
50,"min mean_score, then conv_gen/time",GA,population_size,20,1.0,-14.369797,0.3783
300,"min mean_score, then conv_gen/time",GA,n_generations,50,1.0,-14.369797,0.1534
0.8,"min mean_score, then conv_gen/time",GA,crossover_rate,0.5,1.0,-14.369797,0.9241
0.2,"min mean_score, then conv_gen/time",GA,mutation_rate,0.05,1.0,-14.369797,0.9063
3,"min mean_score, then conv_gen/time",GA,tournament_size,7,1.0,-14.369797,0.9249
greedy,"min mean_score, then conv_gen/time",GA,seed_mode,greedy,1.0,-14.369797,0.9268
