baseline,criterion,family,parameter,selected,selected_conv_gen,selected_score,selected_time
3.0,min baseline_eval,QUBO,alpha1,3.0,,-11.612336,
0.5,min baseline_eval,QUBO,alpha4,0.5,,-11.612336,
0.91,min baseline_eval,QUBO,alpha3,1.1,,-11.686501,
0.1844,min baseline_eval,QUBO,alpha6,0.15,,-11.612336,
4,min baseline_eval,QUBO,R1,5,,-11.686501,
3,min baseline_eval,QUBO,R4,3,,-11.612336,
50,"min mean_score, then conv_gen/time",GA,population_size,20,1.0,-11.612336,0.364
300,"min mean_score, then conv_gen/time",GA,n_generations,50,1.0,-11.612336,0.151
0.8,"min mean_score, then conv_gen/time",GA,crossover_rate,0.5,1.0,-11.612336,0.88
0.2,"min mean_score, then conv_gen/time",GA,mutation_rate,0.1,1.0,-11.612336,0.8845
3,"min mean_score, then conv_gen/time",GA,tournament_size,5,1.0,-11.612336,0.9003
greedy,"min mean_score, then conv_gen/time",GA,seed_mode,greedy,1.0,-11.612336,0.9025
