baseline,criterion,family,parameter,selected,selected_conv_gen,selected_score,selected_time
3.0,min baseline_eval,QUBO,alpha1,3.0,,-16.595524,
0.5,min baseline_eval,QUBO,alpha4,0.5,,-16.595524,
1.0,min baseline_eval,QUBO,alpha3,0.5,,-16.595524,
0.143,min baseline_eval,QUBO,alpha6,0.15,,-16.595524,
4,min baseline_eval,QUBO,R1,4,,-16.595524,
3,min baseline_eval,QUBO,R4,1,,-16.595524,
50,"min mean_score, then conv_gen/time",GA,population_size,20,1.0,-16.595524,0.3995
300,"min mean_score, then conv_gen/time",GA,n_generations,50,1.0,-16.595524,0.1657
0.8,"min mean_score, then conv_gen/time",GA,crossover_rate,0.6,1.0,-16.595524,0.9841
0.2,"min mean_score, then conv_gen/time",GA,mutation_rate,0.05,1.0,-16.595524,0.9774
3,"min mean_score, then conv_gen/time",GA,tournament_size,3,1.0,-16.595524,0.9976
greedy,"min mean_score, then conv_gen/time",GA,seed_mode,greedy,1.0,-16.595524,1.0108
