baseline,criterion,family,parameter,selected,selected_conv_gen,selected_score,selected_time
3.0,min baseline_eval,QUBO,alpha1,3.0,,-13.162967,
1.5,min baseline_eval,QUBO,alpha4,1.0,,-13.162967,
1.17,min baseline_eval,QUBO,alpha3,1.5,,-13.162967,
0.39,min baseline_eval,QUBO,alpha6,0.15,,-13.162967,
4,min baseline_eval,QUBO,R1,4,,-13.162967,
2,min baseline_eval,QUBO,R4,2,,-13.162967,
50,"min mean_score, then conv_gen/time",GA,population_size,20,1.0,-13.162967,0.0883
300,"min mean_score, then conv_gen/time",GA,n_generations,50,1.0,-13.162967,0.0376
0.8,"min mean_score, then conv_gen/time",GA,crossover_rate,0.5,1.0,-13.162967,0.2041
0.2,"min mean_score, then conv_gen/time",GA,mutation_rate,0.1,1.0,-13.162967,0.213
3,"min mean_score, then conv_gen/time",GA,tournament_size,3,1.0,-13.162967,0.2218
greedy,"min mean_score, then conv_gen/time",GA,seed_mode,greedy,1.0,-13.162967,0.2228
