baseline,criterion,family,parameter,selected,selected_conv_gen,selected_score,selected_time
3.0,min baseline_eval,QUBO,alpha1,1.0,,-13.902496,
1.5,min baseline_eval,QUBO,alpha4,0.5,,-13.902496,
1.12,min baseline_eval,QUBO,alpha3,0.8,,-13.902496,
0.3136,min baseline_eval,QUBO,alpha6,0.35,,-13.902496,
4,min baseline_eval,QUBO,R1,4,,-13.902496,
2,min baseline_eval,QUBO,R4,1,,-13.902496,
50,"min mean_score, then conv_gen/time",GA,population_size,20,1.0,-13.902496,0.1159
300,"min mean_score, then conv_gen/time",GA,n_generations,50,1.0,-13.902496,0.049
0.8,"min mean_score, then conv_gen/time",GA,crossover_rate,0.6,1.0,-13.902496,0.2788
0.2,"min mean_score, then conv_gen/time",GA,mutation_rate,0.1,1.0,-13.902496,0.2747
3,"min mean_score, then conv_gen/time",GA,tournament_size,7,1.0,-13.902496,0.2893
greedy,"min mean_score, then conv_gen/time",GA,seed_mode,greedy,1.0,-13.902496,0.2874
