baseline,criterion,family,parameter,selected,selected_conv_gen,selected_score,selected_time
3.0,min baseline_eval,QUBO,alpha1,3.0,,-11.471932,
1.5,min baseline_eval,QUBO,alpha4,0.5,,-11.471932,
1.14,min baseline_eval,QUBO,alpha3,0.8,,-11.471932,
0.275,min baseline_eval,QUBO,alpha6,0.35,,-11.471932,
4,min baseline_eval,QUBO,R1,4,,-11.471932,
2,min baseline_eval,QUBO,R4,2,,-11.471932,
50,"min mean_score, then conv_gen/time",GA,population_size,20,1.0,-11.471932,0.0889
300,"min mean_score, then conv_gen/time",GA,n_generations,50,1.0,-11.471932,0.0373
0.8,"min mean_score, then conv_gen/time",GA,crossover_rate,0.5,1.0,-11.471932,0.1997
0.2,"min mean_score, then conv_gen/time",GA,mutation_rate,0.05,1.0,-11.471932,0.2022
3,"min mean_score, then conv_gen/time",GA,tournament_size,3,1.0,-11.471932,0.2168
greedy,"min mean_score, then conv_gen/time",GA,seed_mode,greedy,1.0,-11.471932,0.2171
