baseline,criterion,family,parameter,selected,selected_conv_gen,selected_score,selected_time
3.0,min baseline_eval,QUBO,alpha1,3.0,,-10.907262,
1.5,min baseline_eval,QUBO,alpha4,1.5,,-10.907262,
1.33,min baseline_eval,QUBO,alpha3,1.1,,-10.907262,
0.3957,min baseline_eval,QUBO,alpha6,0.35,,-10.907262,
4,min baseline_eval,QUBO,R1,4,,-10.907262,
2,min baseline_eval,QUBO,R4,2,,-10.907262,
50,"min mean_score, then conv_gen/time",GA,population_size,20,1.0,-10.907262,0.1525
300,"min mean_score, then conv_gen/time",GA,n_generations,50,1.0,-10.907262,0.0645
0.8,"min mean_score, then conv_gen/time",GA,crossover_rate,0.5,1.0,-10.907262,0.3655
0.2,"min mean_score, then conv_gen/time",GA,mutation_rate,0.05,1.0,-10.907262,0.3651
3,"min mean_score, then conv_gen/time",GA,tournament_size,7,1.0,-10.907262,0.3799
greedy,"min mean_score, then conv_gen/time",GA,seed_mode,greedy,1.0,-10.907262,0.3791
