baseline,criterion,family,parameter,selected,selected_conv_gen,selected_score,selected_time
3.0,min baseline_eval,QUBO,alpha1,3.0,,-11.952956,
1.5,min baseline_eval,QUBO,alpha4,0.5,,-11.952956,
1.1,min baseline_eval,QUBO,alpha3,0.5,,-11.952956,
0.3494,min baseline_eval,QUBO,alpha6,0.05,,-11.952956,
4,min baseline_eval,QUBO,R1,4,,-11.952956,
2,min baseline_eval,QUBO,R4,1,,-11.952956,
50,"min mean_score, then conv_gen/time",GA,population_size,20,1.0,-11.952956,0.081
300,"min mean_score, then conv_gen/time",GA,n_generations,50,1.0,-11.952956,0.0344
0.8,"min mean_score, then conv_gen/time",GA,crossover_rate,0.5,1.0,-11.952956,0.1846
0.2,"min mean_score, then conv_gen/time",GA,mutation_rate,0.05,1.0,-11.952956,0.1926
3,"min mean_score, then conv_gen/time",GA,tournament_size,5,1.0,-11.952956,0.2057
greedy,"min mean_score, then conv_gen/time",GA,seed_mode,greedy,1.0,-11.952956,0.2134
