baseline,criterion,family,parameter,selected,selected_conv_gen,selected_score,selected_time
3.0,min baseline_eval,QUBO,alpha1,3.0,,-12.599168,
1.5,min baseline_eval,QUBO,alpha4,0.5,,-12.599168,
1.25,min baseline_eval,QUBO,alpha3,1.1,,-12.599168,
0.3023,min baseline_eval,QUBO,alpha6,0.35,,-12.599168,
4,min baseline_eval,QUBO,R1,4,,-12.599168,
2,min baseline_eval,QUBO,R4,1,,-12.599168,
50,"min mean_score, then conv_gen/time",GA,population_size,20,1.0,-12.599168,0.0698
300,"min mean_score, then conv_gen/time",GA,n_generations,50,1.0,-12.599168,0.0302
0.8,"min mean_score, then conv_gen/time",GA,crossover_rate,0.5,1.0,-12.599168,0.1569
0.2,"min mean_score, then conv_gen/time",GA,mutation_rate,0.05,1.0,-12.599168,0.1584
3,"min mean_score, then conv_gen/time",GA,tournament_size,7,1.0,-12.599168,0.1714
greedy,"min mean_score, then conv_gen/time",GA,seed_mode,greedy,1.0,-12.599168,0.1781
