baseline,criterion,family,parameter,selected,selected_conv_gen,selected_score,selected_time
3.0,min baseline_eval,QUBO,alpha1,3.0,,-10.128986,
1.5,min baseline_eval,QUBO,alpha4,1.0,,-10.128986,
1.31,min baseline_eval,QUBO,alpha3,0.5,,-10.219938,
0.2228,min baseline_eval,QUBO,alpha6,0.15,,-10.128986,
4,min baseline_eval,QUBO,R1,5,,-10.219148,
2,min baseline_eval,QUBO,R4,2,,-10.128986,
50,"min mean_score, then conv_gen/time",GA,population_size,200,13.2,-10.128986,1.1025
300,"min mean_score, then conv_gen/time",GA,n_generations,200,70.4,-10.128986,0.1878
0.8,"min mean_score, then conv_gen/time",GA,crossover_rate,0.6,57.2,-10.128986,0.2627
0.2,"min mean_score, then conv_gen/time",GA,mutation_rate,0.3,43.8,-10.128986,0.2897
3,"min mean_score, then conv_gen/time",GA,tournament_size,7,26.8,-10.128986,0.275
greedy,"min mean_score, then conv_gen/time",GA,seed_mode,greedy,70.4,-10.128986,0.2756
