baseline,criterion,family,parameter,selected,selected_conv_gen,selected_score,selected_time
3.0,min baseline_eval,QUBO,alpha1,3.0,,-15.047509,
0.5,min baseline_eval,QUBO,alpha4,0.5,,-15.047509,
0.72,min baseline_eval,QUBO,alpha3,0.5,,-15.067997,
0.15,min baseline_eval,QUBO,alpha6,0.15,,-15.047509,
5,min baseline_eval,QUBO,R1,5,,-15.047509,
3,min baseline_eval,QUBO,R4,3,,-15.047509,
50,"min mean_score, then conv_gen/time",GA,population_size,20,1.0,-15.047509,0.3507
300,"min mean_score, then conv_gen/time",GA,n_generations,50,1.0,-15.047509,0.1443
0.8,"min mean_score, then conv_gen/time",GA,crossover_rate,0.7,1.0,-15.047509,0.8651
0.2,"min mean_score, then conv_gen/time",GA,mutation_rate,0.1,1.0,-15.047509,0.8603
3,"min mean_score, then conv_gen/time",GA,tournament_size,10,1.0,-15.047509,0.8817
greedy,"min mean_score, then conv_gen/time",GA,seed_mode,greedy,1.0,-15.047509,0.8856
