baseline,criterion,family,parameter,selected,selected_conv_gen,selected_score,selected_time
3.0,min baseline_eval,QUBO,alpha1,3.0,,-15.215062,
0.5,min baseline_eval,QUBO,alpha4,0.5,,-15.215062,
0.98,min baseline_eval,QUBO,alpha3,0.8,,-15.215062,
0.25,min baseline_eval,QUBO,alpha6,0.35,,-15.008051,
5,min baseline_eval,QUBO,R1,5,,-15.215062,
3,min baseline_eval,QUBO,R4,3,,-15.215062,
50,"min mean_score, then conv_gen/time",GA,population_size,20,1.0,-15.215062,0.2589
300,"min mean_score, then conv_gen/time",GA,n_generations,50,1.0,-15.215062,0.1098
0.8,"min mean_score, then conv_gen/time",GA,crossover_rate,0.5,1.0,-15.215062,0.6305
0.2,"min mean_score, then conv_gen/time",GA,mutation_rate,0.1,1.0,-15.215062,0.6488
3,"min mean_score, then conv_gen/time",GA,tournament_size,7,1.0,-15.215062,0.6505
greedy,"min mean_score, then conv_gen/time",GA,seed_mode,greedy,1.0,-15.215062,0.6597
