baseline,criterion,family,parameter,selected,selected_conv_gen,selected_score,selected_time
3.0,min baseline_eval,QUBO,alpha1,3.0,,-20.887494,
0.5,min baseline_eval,QUBO,alpha4,0.5,,-20.887494,
0.79,min baseline_eval,QUBO,alpha3,0.5,,-20.887494,
0.1,min baseline_eval,QUBO,alpha6,0.15,,-20.75298,
5,min baseline_eval,QUBO,R1,5,,-20.887494,
3,min baseline_eval,QUBO,R4,1,,-20.887494,
50,"min mean_score, then conv_gen/time",GA,population_size,20,1.0,-20.887494,0.5429
300,"min mean_score, then conv_gen/time",GA,n_generations,50,1.0,-20.887494,0.2202
0.8,"min mean_score, then conv_gen/time",GA,crossover_rate,0.6,1.0,-20.887494,1.2816
0.2,"min mean_score, then conv_gen/time",GA,mutation_rate,0.05,1.0,-20.887494,1.2677
3,"min mean_score, then conv_gen/time",GA,tournament_size,7,1.0,-20.887494,1.302
greedy,"min mean_score, then conv_gen/time",GA,seed_mode,greedy,1.0,-20.887494,1.3079
