baseline,criterion,family,parameter,selected,selected_conv_gen,selected_score,selected_time
3.0,min baseline_eval,QUBO,alpha1,3.0,,-19.877373,
0.5,min baseline_eval,QUBO,alpha4,0.5,,-19.877373,
0.88,min baseline_eval,QUBO,alpha3,0.5,,-19.877259,
0.2,min baseline_eval,QUBO,alpha6,0.15,,-19.773488,
5,min baseline_eval,QUBO,R1,5,,-19.877373,
3,min baseline_eval,QUBO,R4,3,,-19.877373,
50,"min mean_score, then conv_gen/time",GA,population_size,20,1.0,-19.877373,0.5146
300,"min mean_score, then conv_gen/time",GA,n_generations,50,1.0,-19.877373,0.2184
0.8,"min mean_score, then conv_gen/time",GA,crossover_rate,0.5,1.0,-19.877373,1.2496
0.2,"min mean_score, then conv_gen/time",GA,mutation_rate,0.05,1.0,-19.877373,1.2479
3,"min mean_score, then conv_gen/time",GA,tournament_size,7,1.0,-19.877373,1.2741
greedy,"min mean_score, then conv_gen/time",GA,seed_mode,greedy,1.0,-19.877373,1.27
