baseline,criterion,family,parameter,selected,selected_conv_gen,selected_score,selected_time
3.0,min baseline_eval,QUBO,alpha1,2.0,,-8.996485,
1.5,min baseline_eval,QUBO,alpha4,1.5,,-8.996485,
1.09,min baseline_eval,QUBO,alpha3,1.1,,-8.996485,
0.3637,min baseline_eval,QUBO,alpha6,0.5,,-8.996485,
3,min baseline_eval,QUBO,R1,3,,-8.996485,
2,min baseline_eval,QUBO,R4,2,,-8.996485,
50,"min mean_score, then conv_gen/time",GA,population_size,50,1.0,-8.985218,0.229
300,"min mean_score, then conv_gen/time",GA,n_generations,500,1.0,-8.988035,0.386
0.8,"min mean_score, then conv_gen/time",GA,crossover_rate,0.7,1.0,-8.985218,0.2208
0.2,"min mean_score, then conv_gen/time",GA,mutation_rate,0.3,1.0,-8.988035,0.2353
3,"min mean_score, then conv_gen/time",GA,tournament_size,3,1.0,-8.985218,0.2284
greedy,"min mean_score, then conv_gen/time",GA,seed_mode,greedy,1.0,-8.985218,0.2248
