baseline,criterion,family,parameter,selected,selected_conv_gen,selected_score,selected_time
3.0,min baseline_eval,QUBO,alpha1,2.0,,-9.612662,
1.5,min baseline_eval,QUBO,alpha4,0.5,,-9.612662,
1.15,min baseline_eval,QUBO,alpha3,0.5,,-9.612662,
0.4006,min baseline_eval,QUBO,alpha6,0.05,,-9.612662,
3,min baseline_eval,QUBO,R1,3,,-9.612662,
2,min baseline_eval,QUBO,R4,2,,-9.612662,
50,"min mean_score, then conv_gen/time",GA,population_size,20,1.0,-9.612662,0.0617
300,"min mean_score, then conv_gen/time",GA,n_generations,50,1.0,-9.612662,0.0262
0.8,"min mean_score, then conv_gen/time",GA,crossover_rate,0.5,1.0,-9.612662,0.1369
0.2,"min mean_score, then conv_gen/time",GA,mutation_rate,0.05,1.0,-9.612662,0.1377
3,"min mean_score, then conv_gen/time",GA,tournament_size,5,1.0,-9.612662,0.1516
greedy,"min mean_score, then conv_gen/time",GA,seed_mode,greedy,1.0,-9.612662,0.1557
