baseline,criterion,family,parameter,selected,selected_conv_gen,selected_score,selected_time
3.0,min baseline_eval,QUBO,alpha1,2.0,,-8.864691,
1.5,min baseline_eval,QUBO,alpha4,0.5,,-8.864691,
1.07,min baseline_eval,QUBO,alpha3,0.5,,-8.864691,
0.5047,min baseline_eval,QUBO,alpha6,0.05,,-8.864691,
3,min baseline_eval,QUBO,R1,3,,-8.864691,
2,min baseline_eval,QUBO,R4,1,,-8.864691,
50,"min mean_score, then conv_gen/time",GA,population_size,20,1.0,-8.864691,0.0494
300,"min mean_score, then conv_gen/time",GA,n_generations,50,1.0,-8.864691,0.0225
0.8,"min mean_score, then conv_gen/time",GA,crossover_rate,0.5,1.0,-8.864691,0.1081
0.2,"min mean_score, then conv_gen/time",GA,mutation_rate,0.05,1.0,-8.864691,0.1112
3,"min mean_score, then conv_gen/time",GA,tournament_size,7,1.0,-8.864691,0.1225
greedy,"min mean_score, then conv_gen/time",GA,seed_mode,greedy,1.0,-8.864691,0.1278
