baseline,criterion,family,parameter,selected,selected_conv_gen,selected_score,selected_time
3.0,min baseline_eval,QUBO,alpha1,2.0,,-7.822185,
1.5,min baseline_eval,QUBO,alpha4,0.5,,-7.822185,
1.33,min baseline_eval,QUBO,alpha3,0.5,,-7.822185,
0.3088,min baseline_eval,QUBO,alpha6,0.35,,-7.822185,
3,min baseline_eval,QUBO,R1,3,,-7.822185,
2,min baseline_eval,QUBO,R4,1,,-7.822185,
50,"min mean_score, then conv_gen/time",GA,population_size,20,1.0,-7.822185,0.104
300,"min mean_score, then conv_gen/time",GA,n_generations,50,1.0,-7.822185,0.0439
0.8,"min mean_score, then conv_gen/time",GA,crossover_rate,0.5,1.0,-7.822185,0.2529
0.2,"min mean_score, then conv_gen/time",GA,mutation_rate,0.05,1.0,-7.822185,0.2492
3,"min mean_score, then conv_gen/time",GA,tournament_size,5,1.0,-7.822185,0.2597
greedy,"min mean_score, then conv_gen/time",GA,seed_mode,greedy,1.0,-7.822185,0.266
